gid_B73	fam	fam_size	fam_idx	note1	note2	n_mu	mid	sids	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL_fc	eQTL_n	eQTL_grp_size	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d019166	bZIP	128	41	EM binding protein1 homologue	EM binding protein1 homologue	1	mu1060813	UFMu-08183	Zm00004b035081	One-to-One	moderate	missense_variant	FALSE	0							28.6	39.7	26.6	13.4	13.8	18.6	33.5	33.2	24.4	14.9	15.2	17.5	33.5
Zm00001d019230	AP2	28	9	sister of indeterminate spikelet1	sister of indeterminate spikelet1	3	mu1017078|mu1060820|mu1060820	UFMu-01006,UFMu-01650,UFMu-02651,UFMu-03691|UFMu-08181|UFMu-11328	Zm00004b035135	One-to-One	non-syntenic	splice_donor_variant	FALSE	0			9.73393900064893	1	7	wang2018	14	4.6	3.4	1.4	18.1	12.6	10.4	3.1	0.7	3.4	27.5	23.1	3.4
Zm00001d020019	G2-like	61	20	G2-like-transcription factor 1	Protein PHR1-LIKE 3	1	mu1018759	UFMu-00943	Zm00004b035645	One-to-One	moderate	missense_variant	FALSE	3	0.3333333333333333	mix	72.31884057971014	3	12	li2013,liu2017,wang2018	58.2	14.7	26.8	15.1	37.3	22.6	55.5	11	38.1	17.4	41.1	23.9	55.5
Zm00001d020046	HB-other	21	12	Homeobox-transcription factor 55	Protein SAWADEE HOMEODOMAIN HOMOLOG 2	1	mu1045807	UFMu-05761	Zm00004b035670,Zm00004b035671	Many-to-One	moderate	missense_variant	FALSE	0							47.6	31.7	48.7	22.5	34.8	26.2	47.3	39.3	22.6	21.8	34.3	27	47.3
Zm00001d020137	WRKY	121	46	WRKY-transcription factor 79	Probable WRKY transcription factor 30	1	mu1081827	UFMu-09752	Zm00004b035725	One-to-One	moderate	conservative_inframe_deletion	FALSE	47	0.9858156028368794	acti					1.4	0	67.6	21.9	6.2	9.9	2.9	0.3	107.1	8.1	3.3	2.8	8.1
Zm00001d020242	C3H	55	22	""	Zinc finger CCCH domain-containing protein 64	2	mu1054275|mu1068435	UFMu-06756|UFMu-08536	Zm00004b035789	One-to-One	moderate	missense_variant	FALSE	0							46.7	30.9	45.2	21.9	36.4	29.8	31.3	24.1	24.5	19.9	39.4	27.2	39.4
Zm00001d020267	ERF	177	65	AP2-EREBP-transcription factor 109	Ethylene-responsive transcription factor ERF056	2	mu1031098|mu1039484	UFMu-02606|UFMu-03781	Zm00004b035808	One-to-One	moderate	missense_variant	FALSE	3	1	acti					39.8	8.7	33.6	22.1	57	40.9	71.9	19.2	57	38.8	49.2	28.9	71.9
Zm00001d020595	ERF	177	66	AP2-EREBP-transcription factor 102	Ethylene response factor	3	mu1023396|mu1054007|mu1071977	UFMu-02860|UFMu-06592|UFMu-02201	Zm00004b036080	One-to-One	moderate	disruptive_inframe_deletion	FALSE	2	0	mix					22.7	14.1	310	21.4	155.7	40.6	75.4	9	176.9	393.1	166.8	38.7	9
Zm00001d020670	HD-ZIP	60	20	Homeobox-transcription factor 11	Homeobox-leucine zipper protein HAT3	2	mu1054014|mu1068191	UFMu-06601|UFMu-08828	Zm00004b036145	One-to-One	moderate	missense_variant	FALSE	0							3.3	0.3	22	15.5	4.9	11.2	6.3	0.3	15.3	9.9	3.8	15.8	9.9
Zm00001d020688	GeBP	20	7	GeBP-transcription factor 7	GLABROUS1 enhancer-binding protein-like	1	mu1092653	UFMu-12357	Zm00004b036159	One-to-One	moderate	missense_variant	FALSE	0							13.3	6.3	13.8	4	17.4	6.6	10.1	9.8	10	6.5	17.6	5.7	9.8
Zm00001d020826	bHLH	190	68	bHLH-transcription factor 86	Transcription factor bHLH76	1	mu1074866	UFMu-03795	Zm00004b036270	One-to-One	high	splice_donor_variant	FALSE	0							2.7	18.5	16.6	9.8	39.3	7.7	2	38.1	5	22.5	45.7	12.2	5
Zm00001d020834	bHLH	190	69	bHLH-transcription factor 106	Transcription factor BIM2	2	mu1035505|mu1083984	UFMu-03451|UFMu-10192	Zm00004b036281	One-to-One	high	frameshift_variant	FALSE	0							46.9	38.2	57	54.2	65.8	51.6	70.6	47.8	102.9	90.7	83.6	51.4	90.7
Zm00001d020837	Dof	45	15	C2C2-Dof-transcription factor 16	Dof zinc finger protein DOF1.6	1	mu1054023	UFMu-06571	Zm00004b036285	One-to-One	no_change		FALSE	0							2	0	9.2	5.7	3.7	2.6	2.1	0	8.3	6.8	2.9	2.1	8.3
Zm00001d020881	WRKY	121	49	WRKY-transcription factor 52	Probable WRKY transcription factor 34	1	mu1049170	UFMu-05989	Zm00004b036316	One-to-One	moderate	missense_variant	FALSE	0			14.267990074441686	1	7	li2013	12.7	0.7	64.3	12.1	26.8	12.8	11.4	0.6	40.1	8.3	29.4	8.6	8.6
Zm00001d020932	bHLH	190	70	bHLH-transcription factor 146	Helix-loop-helix DNA-binding domain containing protein	1	mu1054031	UFMu-06539	Zm00004b036351	One-to-One	low	splice_region_variant	FALSE	0							0.8	0	5.2	9	10.8	7.8	0.9	0	2.3	6.9	13.2	6.7	6.9
Zm00001d020947	MYB_related	109	46	MYB-related-transcription factor 82	DNA-binding bromodomain-containing protein	4	mu1015808|mu1068211|mu1078265|mu1081704	UFMu-00725|UFMu-08589|UFMu-09182|UFMu-09544			non-syntenic		FALSE	0							20.9	8.8	35.4	16.6	14.6	11.6	15.7	14.7	34.4	25.7	20.5	9.7	9.7
Zm00001d020972	NAC	126	45	NAC-transcription factor 79	Pentatricopeptide repeat-containing protein  mitochondrial	2	mu1015809|mu1042560	UFMu-02114|UFMu-05139	Zm00004b036384,Zm00004b036385	Many-to-One	high	frameshift_variant	FALSE	0							14.7	14.5	81	29	36.3	14.1	19.6	18	64.8	45.2	47.3	20.5	64.8
Zm00001d021019	bHLH	190	71	bHLH-transcription factor 136	Transcription factor bHLH62	1	mu1054048	UFMu-06599	Zm00004b036423	One-to-One	moderate	missense_variant	FALSE	0							19	3.2	47	34.9	51.7	64.7	12.8	5.4	45.7	33.4	48.2	71.5	71.5
Zm00001d021236	HD-ZIP	60	22	outer cell layer3	Homeodomain leucine zipper family IV protein	1	mu1035810	UFMu-03333	Zm00004b036560	One-to-One	moderate	disruptive_inframe_deletion	FALSE	5	1	acti					33.4	0.4	6.6	29.2	7	43.7	25	0.3	5.1	49.2	5.3	45.3	5.3
Zm00001d021263	HSF	29	12	HSF-transcription factor 10	Heat stress transcription factor B-2b	2	mu1041620|mu1092731	UFMu-04635|UFMu-11273	Zm00004b036584	One-to-Many	no_change		FALSE	63	0.9682539682539683	acti					2	2.1	1.8	4.3	5	7.6	10.2	4.8	12.7	6.4	8.3	9.6	9.6
Zm00001d021290	SRS	9	5	SHI/STY (SRS)-transcription factor 8	Protein SHI RELATED SEQUENCE 1	1	mu1057532	UFMu-07232	Zm00004b036608	One-to-One	moderate	missense_variant	FALSE	0							0	0	0.5	0.3	0	0.1	0	0	0.2	0.1	0	0.1	0.2
Zm00001d021362	GRF	15	8	GRF-transcription factor 3	growth-regulating factor 9	1	mu1062031	UFMu-08371,UFMu-09019,UFMu-11253	Zm00004b036661	One-to-One	low	synonymous_variant	FALSE	0							35.7	2.3	21.2	16	21.5	23.1	41.2	2.2	14	17.9	18.9	19.8	41.2
Zm00001d021389	Trihelix	46	21	""	sequence-specific DNA binding transcription factors	1	mu1032195	UFMu-02510	Zm00004b036680	One-to-One	moderate	missense_variant	FALSE	0							7	8.1	18.6	5.4	22.6	11	9.8	16.5	7.6	8.5	20.4	9.6	9.8
Zm00001d021403	C2H2	132	58	indeterminate1 domain7	indeterminate1 domain7	1	mu1039567	UFMu-03778	Zm00004b036694	One-to-One	high	frameshift_variant	FALSE	0							12.6	3.2	7.6	13.3	21.8	49.8	9.8	2.3	1.2	9.5	23.7	27.1	9.8
Zm00001d021545	FAR1	14	4	FAR1-like-transcription factor 10	Protein FAR1-RELATED SEQUENCE 5	1	mu1049222	UFMu-06409	Zm00004b036824	One-to-One	modifier	3_prime_UTR_variant	FALSE	0							14.6	10.3	14.3	6.8	10.3	8.5	16.7	10.5	16	10.7	12.8	8.5	8.5
Zm00001d021748	bHLH	190	75	bHLH-transcription factor 90	DNA binding protein	3	mu1017573|mu1068276|mu1088057	UFMu-01040|UFMu-08693|UFMu-10680	Zm00004b037010	One-to-One	moderate	conservative_inframe_deletion	FALSE	0							42.2	14.8	40.9	21.4	31.8	28.6	12.4	4.5	15	19.8	23	20.2	4.5
Zm00001d021790	B3	45	13	ABI3-VP1-transcription factor 22	B3 domain-containing transcription factor VAL3	2	mu1034822|mu1084018	UFMu-03279|UFMu-10417	Zm00004b037041	One-to-One	low	splice_region_variant	FALSE	0							71.6	59.8	84.9	32.7	51.5	37.8	113.6	56.9	52.1	42.4	47.2	29	56.9
Zm00001d021826	GRAS	81	21	GRAS-transcription factor 54	Nodulation signaling pathway 2 protein	3	mu1019721|mu1031242|mu1095277	UFMu-00644|UFMu-03075|UFMu-11274	Zm00004b037067	One-to-Many	moderate	disruptive_inframe_insertion	FALSE	0							0.6	0	2.5	0.8	0.4	0.9	1.1	0.2	2	0.9	0.3	0.9	2
Zm00001d021831	C3H	55	23	C3H-transcription factor 333	Zinc finger CCCH domain-containing protein 56	2	mu1007310|mu1057580	UFMu-00526,UFMu-06803|UFMu-07277	Zm00004b037076	One-to-One	moderate	missense_variant	FALSE	0							17.2	7	36.6	12.5	18	12.2	22.3	10.3	47.4	17.6	20.3	11.5	47.4
Zm00001d021927	BES1	10	4	brassinosteroid insensitive EMS-suppressor homolog1	BES1/BZR1 protein	1	mu1092833	UFMu-13537	Zm00004b037145	One-to-One	moderate	missense_variant	FALSE	0			16.3265306122449	1	6	li2013	11.5	7.3	11.4	15.4	6.3	18.9	7.3	6.1	2.9	12.7	8	11.4	8
Zm00001d021932	C2H2	132	60	""	Protein indeterminate-domain 11	6	mu1015911|mu1068290|mu1068291|mu1071389|mu1079953|mu1092834	UFMu-01252|UFMu-08535|UFMu-08535|UFMu-02900|UFMu-09147|UFMu-11966	Zm00004b037149	One-to-One	moderate	missense_variant	FALSE	0							9.9	13.1	18.6	22.2	11.8	21	16	17.2	15.2	14.9	11.4	21.9	21.9
Zm00001d021946	GRAS	81	22	GRAS-transcription factor 38	""	2	mu1050398|mu1092837	UFMu-06405|UFMu-12274	Zm00004b037160	One-to-One	no_change		FALSE	0							18.2	7.5	45.6	8.4	1.4	1.4	62.1	16.1	71.4	2.7	2.2	1.2	71.4
Zm00001d021973	GRAS	81	23	GRAS-transcription factor 19	Protein SHORT-ROOT	1	mu1015916	UFMu-01398	Zm00004b037184	One-to-One	no_change		FALSE	0							6	0.1	0.1	0.3	15	5.4	6.5	0	0.7	0.3	11.8	5.1	6.5
Zm00001d022227	MYB	163	58	MYB-transcription factor 70	fused leaves1	1	mu1092890	UFMu-13110	Zm00004b037388	One-to-One	moderate	missense_variant	FALSE	1	1	acti					5.1	2	4.9	20.1	0.9	8.5	6.8	1	1	19.4	0	8.4	8.4
Zm00001d022266	GeBP	20	8	GeBP-transcription factor 12	Probable transcription factor	1	mu1015940	UFMu-01251	Zm00004b037422	One-to-One	low	synonymous_variant	FALSE	0							2.3	1.2	1.5	1	3.3	1.5	3.2	1.5	1.8	2.2	3.8	2.6	3.8
Zm00001d022525	Dof	45	17	C2C2-Dof-transcription factor 1	Dof-type zinc finger DNA-binding family protein	1	mu1018638	UFMu-01129	Zm00004b037623	One-to-One	moderate	conservative_inframe_insertion	FALSE	6	1	acti					18.7	24.7	48.8	42.4	42.4	59.1	21.1	15.6	35.2	39	46.2	57.4	57.4
Zm00001d022526	G2-like	61	23	G2-like-transcription factor 59	Myb-related protein 2	1	mu1054179	UFMu-06871	Zm00004b037624	One-to-One	moderate	disruptive_inframe_deletion	FALSE	1	1	acti					2.4	0.2	30.4	4.7	16.6	6.7	4	0.1	12.6	7.8	14.9	4.7	7.8
Zm00001d022550	bZIP	128	49	bZIP-transcription factor 92	ABSCISIC ACID-INSENSITIVE 5-like protein 2	2	mu1042471|mu1092926	UFMu-04869|UFMu-11921	Zm00004b037647	One-to-One	moderate	conservative_inframe_deletion	FALSE	0							9.1	0.9	1.6	0.2	4.2	3.3	7.5	3.7	2.1	0.5	3.5	2.2	7.5
Zm00001d022628	MYB	163	60	MYB-transcription factor 11	R2R3MYB-domain protein	1	mu1057638	UFMu-07137	Zm00004b037718	One-to-One	high	splice_donor_variant	FALSE	0							5.3	4.6	7.3	18.6	59.6	35.5	1.1	3.9	5.3	28.2	63.3	27.9	63.3
Zm00001d023332	WRKY	121	52	WRKY-transcription factor 63	Probable WRKY transcription factor 38	2	mu1019488|mu1085775	UFMu-00783|UFMu-10852			high	frameshift_variant	FALSE	6	1	acti					0.1	0.3	0.3	36.9	0.4	2	1.8	3.7	6.5	7	1	4.6	7
Zm00001d023402	G2-like	61	24	G2-like-transcription factor 4	Putative MYB DNA-binding domain superfamily protein	1	mu1052124	UFMu-06857	Zm00004b037897,Zm00004b037903	Many-to-Many	moderate	missense_variant	FALSE	18	1	acti					5.1	2.5	0.2	0.1	12.6	11.1	1.8	0.1	0.7	0	3.7	1	3.7
Zm00001d023411	G2-like	61	25	G2-like-transcription factor 5	myb-like transcription factor family protein	1	mu1052126	UFMu-06857	Zm00004b037897,Zm00004b037903	Many-to-Many	moderate	missense_variant	FALSE	22	1	acti					6.1	2.4	0.2	0.1	8.2	6.9	2	0.1	1.8	0.2	12.8	3.8	3.8
Zm00001d023446	B3	45	15	ABI3-VP1-transcription factor 41	B3 domain-containing protein	1	mu1013190	UFMu-02411	Zm00004b037931	One-to-One	low	splice_region_variant	FALSE	0							9.6	0.3	0.4	3.1	9.1	6.4	2.5	0.2	0.5	17.8	11	5.4	5.4
Zm00001d023507	bZIP	128	52	bZIP-transcription factor 10	Transcription factor VIP1	5	mu1019410|mu1044617|mu1044618|mu1055643|mu1075006	UFMu-00580|UFMu-05747|UFMu-05747|UFMu-07456,UFMu-07958|UFMu-05747	Zm00004b037971	One-to-One	high	frameshift_variant	FALSE	0							26.1	11.8	19.7	14.3	14.6	9.3	35.7	15.8	17.9	14.7	14.3	9.9	9.9
Zm00001d023539	GATA	36	15	C2C2-GATA-transcription factor 7	GATA transcription factor 14	6	mu1021667|mu1034952|mu1037753|mu1055666|mu1066369|mu1079311	UFMu-01411|UFMu-03427|UFMu-03729|UFMu-07430|UFMu-08361,UFMu-09411,UFMu-09482,UFMu-10745,UFMu-11275|UFMu-08888	Zm00004b037999	One-to-One	moderate	missense_variant	FALSE	3	1	acti					5.9	8	6.1	6.8	4	6.4	9.1	13.4	3.8	9	4.4	8.4	9.1
Zm00001d023541	GATA	36	17	C2C2-GATA-transcription factor 8	Putative GATA transcription factor family protein	1	mu1076432	UFMu-09217	Zm00004b038002	One-to-One	moderate	missense_variant	FALSE	0							0.1	14.8	0.1	0	0	0	0.2	25.1	0	0	0	0	25.1
Zm00001d023558	C2H2	132	63	C2H2-transcription factor 235	Protein SENSITIVE TO PROTON RHIZOTOXICITY 1	2	mu1082956|mu1089338	UFMu-10018|UFMu-11353	Zm00004b038017	One-to-One	moderate	missense_variant	FALSE	0							5.6	0	33.1	6.6	32.3	8.7	19.3	0.3	17.4	14	44.3	12.1	44.3
Zm00001d023565	TCP	42	18	TCP-transcription factor 12	Transcription factor TCP8	1	mu1080657	UFMu-09878	Zm00004b038026	One-to-One	moderate	conservative_inframe_insertion	FALSE	0							5.1	2.9	3.5	4.2	14.3	7.9	6.8	3.2	5.9	3.5	13.6	8.8	8.8
Zm00001d023927	C3H	55	26	""	Zinc finger CCCH domain-containing protein 30	2	mu1052105|mu1066287	UFMu-06538|UFMu-08640	Zm00004b038289	One-to-One	moderate	missense_variant	FALSE	0							2	0.2	4.5	0.7	2.2	1.1	6.3	0.4	4.7	1.4	5.2	1.9	6.3
Zm00001d024160	bZIP	128	54	bZIP-transcription factor 107	Transcription factor TGA4	1	mu1047032	UFMu-06472	Zm00004b038459	One-to-One	moderate	missense_variant	FALSE	2	0	mix					0.7	0.2	11.1	3.8	62.3	1.3	1.7	0.2	17.4	3	60.9	2.2	60.9
Zm00001d024268	NAC	126	55	NAC-transcription factor 110	NAC domain-containing protein 21/22	2	mu1017177|mu1043735	UFMu-01106,UFMu-01243|UFMu-05293	Zm00004b038586	One-to-One	moderate	disruptive_inframe_insertion	FALSE	0			257.4487895716946	3	14	li2013,liu2017,wang2018	2.3	1.8	6.3	3	24.9	12.1	0.7	1.1	7.1	2.2	16.3	4.9	7.1
Zm00001d024701	HD-ZIP	60	25	Homeobox-transcription factor 18	Homeodomain leucine zipper family IV protein; Putative homeobox/lipid-binding domain family protein isoform 1; Putative homeobox/lipid-binding domain family protein isoform 2	1	mu1080768	UFMu-09421	Zm00004b038926	One-to-One	high	splice_donor_variant	FALSE	22	1	acti					17	0.3	0.1	0.5	0	22	12.7	0.2	0.1	0.9	0	23.3	23.3
Zm00001d025033	TCP	42	19	TCP-transcription factor 40	Transcription factor TCP6	1	mu1046805	UFMu-06134	Zm00004b039221	One-to-One	moderate	missense_variant	FALSE	0							3.1	0.7	2	0.9	1.7	1.6	2.9	0.5	1.3	1.1	1.7	1.6	2.9
Zm00001d025233	B3	45	20	ABI3-VP1-transcription factor 21	B3 domain-containing protein	1	mu1089358	UFMu-12921	Zm00004b039384	One-to-One	low	splice_region_variant	FALSE	2	1	acti					16.8	0.2	0.9	1.3	0.8	3.4	5.6	0	0.9	0.4	0.1	1.1	5.6
Zm00001d025409	ERF	177	80	AP2-EREBP-transcription factor 21	Putative AP2/EREBP transcription factor superfamily protein	2	mu1019766|mu1051271	UFMu-01144,UFMu-03540,UFMu-05291|UFMu-06512	Zm00004b039526	One-to-One	moderate	missense_variant	FALSE	0							0.2	0.1	0	0	0	0	0	0.1	0	0	0	0	0.1
Zm00001d025514	Trihelix	46	24	Trihelix-transcription factor 2	Trihelix transcription factor ASIL2	3	mu1069149|mu1089393|mu1094339	UFMu-08325|UFMu-12019|UFMu-13149	Zm00004b039601	One-to-One	low	synonymous_variant	FALSE	0							5.2	4.2	3.6	2.8	4.6	4.8	5.6	5	3.4	2.8	5.4	4.3	5.6
Zm00001d025589	bZIP	128	56	bZIP-transcription factor 88	Transcription factor HY5-like	1	mu1021742	UFMu-01266	Zm00004b039657	One-to-One	moderate	missense_variant	FALSE	0							0	0.1	0	0	0	0	5.2	5.6	7.2	3	3.9	4.7	7.2
Zm00001d025669	WRKY	121	57	WRKY-transcription factor 59	Putative WRKY DNA-binding domain superfamily protein	2	mu1046855|mu1072530	UFMu-06510|UFMu-03261	Zm00004b039729	One-to-One	moderate	missense_variant	FALSE	0							2.4	0.1	0	0.4	1.6	3.4	3	0.1	0.1	0.2	0.6	1.8	3
Zm00001d025684	NAC	126	58	NAC-transcription factor 15	Putative NAC domain transcription factor superfamily protein	1	mu1037566	UFMu-03911	Zm00004b039742	One-to-One	moderate	missense_variant	FALSE	0							0.4	1.5	0	0	0.1	0.1	0.9	1	0	0.4	1.1	0.6	1.1
Zm00001d025727	bHLH	190	87	bHLH-transcription factor 133	U-box domain-containing protein 7	1	mu1022352	UFMu-02112	Zm00004b039773,Zm00004b039774	Many-to-One	moderate	missense_variant	FALSE	0							1.4	0.1	6.7	1.2	5.9	1.8	3.7	0	1.7	6.9	8.2	2.8	8.2
Zm00001d025953	GATA	36	18	C2C2-GATA-transcription factor 6	Putative GATA transcription factor family protein	5	mu1013054|mu1023098|mu1031914|mu1033545|mu1035771	UFMu-01317|UFMu-02112|UFMu-02594|UFMu-03304|UFMu-03304	Zm00004b039978	One-to-One	moderate	missense_variant	FALSE	0							20	30.7	36.3	27.7	13.9	34.1	23.2	26.4	23.4	17.1	9	23.7	9
Zm00001d025982	Trihelix	46	27	""	FRIGIDA interacting protein 2	2	mu1013059|mu1058864	UFMu-02112|UFMu-07786	Zm00004b039996	One-to-One	moderate	missense_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d026046	bHLH	190	88	bHLH-transcription factor 134	Putative HLH DNA-binding domain superfamily protein	2	mu1046907|mu1076249	UFMu-06002|UFMu-08963	Zm00004b040057	One-to-One	moderate	missense_variant	FALSE	2	1	acti					22.7	0.2	0	0	0.1	5.2	17.4	1.3	0	0	0.1	4.4	4.4
Zm00001d026050	GRAS	81	30	GRAS-transcription factor 22	""	3	mu1070833|mu1071657|mu1072534	UFMu-02741|UFMu-02234|UFMu-03108	Zm00004b040059	One-to-One	no_change		FALSE	48	0.9861111111111112	acti					6.4	2.5	12	8.1	8.8	5.7	13.4	8.4	15.8	21	10.5	6	8.4
Zm00001d026088	HD-ZIP	60	27	outer cell layer2	Outer cell layer2	3	mu1017551|mu1022138|mu1022138	UFMu-00867|UFMu-02252|UFMu-09898	Zm00004b040089	One-to-One	moderate	missense_variant	FALSE	0							3.4	2.3	0.2	0.2	5.6	1.7	0.9	0.5	0	0.2	4.2	0.7	4.2
Zm00001d026094	HSF	29	14	HSF-transcription factor 20	Heat stress transcription factor B-2b	2	mu1085720|mu1085720	UFMu-10752|UFMu-11313	Zm00004b040094	One-to-One	moderate	missense_variant	FALSE	65	1	acti					10	1.7	0.6	13.1	4.1	5.1	80.5	20.3	42	19.4	9.9	5.7	9.9
Zm00001d026113	C2H2	132	70	naked endosperm2	naked endosperm2	1	mu1089476	UFMu-11172	Zm00004b040110	One-to-One	high	splice_acceptor_variant	FALSE	0							41.6	115.1	3.5	26.3	6.1	19.3	40.8	2.4	0.2	24.4	8.6	20.3	8.6
Zm00001d026158	GRAS	81	31	GRAS-transcription factor 79	Scarecrow-like protein 6	6	mu1008309|mu1037602|mu1037603|mu1073892|mu1076259|mu1082255	UFMu-00167|UFMu-03171|UFMu-02900|UFMu-04499|UFMu-08886|UFMu-09492	Zm00004b040144	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0							9	3.2	9.2	11.8	13.6	12.6	10.5	3.9	8.3	14.3	14.8	11.3	8.3
Zm00001d026191	ERF	177	82	AP2-EREBP-transcription factor 2	Ethylene-responsive transcription factor 1A	1	mu1076264	UFMu-09268	Zm00004b040176	One-to-One	moderate	missense_variant	FALSE	1	1	acti					0.2	2.4	15.6	1.5	10.3	3.3	0.3	1.1	24.8	0.7	8.6	2	8.6
Zm00001d026252	WRKY	121	59	WRKY-transcription factor 14	Probable WRKY transcription factor 11	1	mu1073620	UFMu-04383	Zm00004b040237	One-to-Many	moderate	missense_variant	FALSE	18	1	acti					13.4	3	66.9	8.1	44.3	15.6	12.5	2.4	15.6	8.9	35.6	19.9	8.9
Zm00001d026398	bZIP	128	58	bZIP-transcription factor 113	Transcription factor TGA4	1	mu1043784	UFMu-05128	Zm00004b040365	One-to-One	high	frameshift_variant	FALSE	4	0.8333333333333334	acti					0.4	0.2	66.6	19.9	102.5	19.8	0.2	0	53.4	9.9	124.4	17.4	9.9
Zm00001d026456	MYB_related	109	60	MYB-related-transcription factor 65	""	1	mu1009215	UFMu-00441	Zm00004b040411	One-to-One	moderate	missense_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d026518				BSD-transcription factor 10	BSD domain containing protein	1	mu1046961	UFMu-05970			low	synonymous_variant	TRUE	0							15.5	6.9	16.3	6.1	13.2	12.6	12.8	7.8	11.7	7	11.5	7.7	7.8
Zm00001d026628	Dof	45	20	C2C2-Dof-transcription factor 41	Dof zinc finger protein DOF1.6	2	mu1013137|mu1013137	UFMu-01503,UFMu-01608|UFMu-04164,UFMu-04456,UFMu-05160,UFMu-05936,UFMu-10915,UFMu-11225	Zm00004b040570	One-to-One	high	frameshift_variant	FALSE	0							18.5	0.3	34.6	4.4	25.3	11	13.5	0.6	66.7	1.3	14.1	3.8	66.7
Zm00001d026684	C2H2	132	72	C2H2-transcription factor 246	C2H2-like zinc finger protein	2	mu1046984|mu1080727	UFMu-06517|UFMu-09479	Zm00004b040626	One-to-One	no_change		FALSE	0							9.9	0.1	0.6	1.1	2.9	3.4	4.7	0	0	11.3	2.5	3.6	4.7
Zm00001d027317	HD-ZIP	60	29	rolled leaf2	rolled leaf2	1	mu1013569	UFMu-01346,UFMu-03270	Zm00004b000067	One-to-One	high	splice_acceptor_variant	FALSE	0							61.9	29.2	193.3	49.2	69.5	67.2	46.1	11.4	140.9	71.7	63.6	50.2	71.7
Zm00001d027461	bZIP	128	59	bZIP-transcription factor 114	DNA binding protein	1	mu1046724	UFMu-06361	Zm00004b000195	One-to-One	high	splice_donor_variant	FALSE	1	1	acti					20.1	72.3	1.7	3.6	1.5	4.9	10.5	141.6	0.3	3.8	2	13	3.8
Zm00001d027510	Nin-like	17	10	NLP-transcription factor 7	Protein NLP2	2	mu1019431|mu1089262	UFMu-01009|UFMu-12013	Zm00004b000241	One-to-One	moderate	missense_variant	FALSE	13	1	acti					12.3	20	65.7	45.6	59.3	38	13.5	33.3	53.8	38.2	43.3	32	53.8
Zm00001d027677	C2H2	132	73	""	Metal regulatory transcription factor 1	1	mu1084401	UFMu-10302	Zm00004b000369	One-to-One	low	synonymous_variant	FALSE	0							9.4	6.4	4.6	3.8	3.8	5.3	15.5	10.9	7.8	6.3	4.6	5.9	7.8
Zm00001d027752	STAT	1	1	""	SH2 domain protein B	1	mu1086658	UFMu-10623	Zm00004b000427,Zm00004b000428	Many-to-One	high	splice_donor_variant	FALSE	1	0	mix					32.4	12.1	27	19.1	12.4	23.4	22.6	7.6	11	13.6	8.2	18.1	8.2
Zm00001d027757	HSF	29	15	HSF-transcription factor 13	Heat stress transcription factor A-6b	2	mu1085337|mu1085338	UFMu-10587|UFMu-10587	Zm00004b000433	One-to-One	moderate	missense_variant	FALSE	13	1	acti					0.4	0.1	2.9	76.6	10.8	51	4.3	0	86.9	47.6	16.9	53.3	86.9
Zm00001d027846	Dof	45	21	C2C2-Dof-transcription factor 21	Dof-type zinc finger DNA-binding family protein	1	mu1088571	UFMu-11766	Zm00004b000494	One-to-One	moderate	missense_variant	FALSE	15	1	acti					1	0.5	114.6	37.2	18.8	28.1	1.3	0.4	64.3	27.1	22.3	17.8	64.3
Zm00001d027874	NF-YA	13	8	nuclear transcription factor y subunit a1	nuclear transcription factor y subunit a1	2	mu1013289|mu1046256	UFMu-02216,UFMu-06291|UFMu-06468	Zm00004b000519	One-to-One	low	splice_region_variant	FALSE	0							348.5	36.2	23	33.4	76.8	42	365.9	58	142.5	42.2	79.8	27.5	79.8
Zm00001d027878	AP2	28	13	AP2-EREBP-transcription factor 130	AP2-EREBP-type transcription factor	1	mu1054977	UFMu-07284	Zm00004b000524	One-to-One	low	synonymous_variant	FALSE	9	1	acti					185.8	13.8	0	0	0	2.2	161.2	22.6	0	0	0	0.8	22.6
Zm00001d027925	ERF	177	90	AP2-EREBP-transcription factor 180	Ethylene-responsive transcription factor RAP2-3	1	mu1088624	UFMu-11378	Zm00004b000558	One-to-One	moderate	disruptive_inframe_deletion	FALSE	1	1	acti					2	0.1	1.3	0.4	142.5	15.8	4.8	0.1	0.3	2.3	188.8	18.7	4.8
Zm00001d028139	C2H2	132	74	""	Protein indeterminate-domain 2	1	mu1037200	UFMu-04156	Zm00004b000718	One-to-One	moderate	missense_variant	FALSE	1	1	acti					23.7	3.1	34.8	1.3	5.1	6.6	35.1	1.8	4.6	2.6	10	10.3	4.6
Zm00001d028265	ARR-B	9	5	cytokinin response regulator8	Response regulator 8; Two-component response regulator ARR1	1	mu1089019	UFMu-11213	Zm00004b000828	One-to-One	no_change		FALSE	0							18.2	22	42.6	17.1	54.1	24.8	24.3	23.5	43	20.5	55.7	24.7	55.7
